,#,open_score,close_score,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-11-02,0,0.0,0.0,2500.0,2522.8,2487.55,2518.0,2517.35,659647.0,16543.69
2015-11-04,1,0.0,0.0,2545.0,2547.2,2520.0,2526.75,2533.8,495717.0,12552.9
2015-11-05,2,0.0,0.0,2530.8,2534.95,2480.0,2485.0,2482.65,798049.0,19926.77
2015-11-10,3,0.0,0.0,2472.95,2477.0,2450.0,2455.0,2458.15,680960.0,16774.08
2016-02-11,5,0.2293083333333333,0.0,2280.0,2289.0,2171.65,2179.35,2197.95,981204.0,21893.32
2016-02-12,6,0.0,0.0,2200.0,2243.4,2164.0,2226.3,2226.6,1086284.0,24055.41
2016-02-17,7,0.18470416666666667,0.0,2265.0,2279.65,2246.4,2279.65,2275.55,792589.0,17954.55
2016-02-19,8,0.2192,0.0,2307.35,2327.0,2305.45,2314.9,2319.65,439506.0,10185.34
2016-02-23,9,0.19621818181818185,0.0,2310.25,2319.9,2256.75,2258.1,2264.0,653426.0,14880.24
2016-02-24,10,0.0,0.0,2262.45,2262.45,2201.2,2216.0,2210.95,829664.0,18504.52
2016-02-25,11,0.2081875,0.0,2219.8,2228.0,2185.65,2224.2,2212.85,915278.0,20180.49
2016-02-26,12,0.1295875,0.0,2229.7,2256.9,2199.6,2219.9,2210.5,768768.0,17051.54
2016-03-04,14,0.2313416666666667,0.0,2380.0,2380.0,2349.55,2369.85,2357.55,756483.0,17872.09
2016-03-08,16,0.08713333333333333,0.0,2342.1,2367.0,2304.2,2351.0,2354.3,634076.0,14855.47
2016-03-09,17,0.12774444444444444,0.0,2341.0,2369.4,2295.15,2360.0,2357.25,1008892.0,23473.66
2016-03-10,18,0.2459714285714285,0.0,2356.05,2359.85,2314.95,2347.0,2348.3,830833.0,19352.29
2016-03-11,19,0.15903499999999998,0.0,2340.0,2390.85,2335.0,2360.0,2365.25,765264.0,18131.61
2016-03-14,20,0.130375,0.0,2362.0,2398.0,2340.0,2346.1,2355.0,818371.0,19324.84
2016-03-15,21,-0.16455,0.0,2349.05,2363.5,2320.1,2330.25,2329.9,811678.0,18938.65
2016-03-16,22,0.0519125,0.0,2315.0,2332.0,2306.9,2323.55,2327.05,959123.0,22253.15
2016-03-17,23,0.10444375,0.0,2334.0,2361.8,2332.0,2349.0,2352.05,1110544.0,26073.91
2016-03-28,26,0.1196125,0.0,2491.0,2517.15,2461.55,2476.0,2473.4,1660441.0,41145.83
2016-03-29,27,0.239225,0.0,2478.0,2486.95,2455.0,2462.4,2469.4,919398.0,22732.05
2016-03-30,28,0.19669,0.0,2470.9,2505.0,2460.0,2490.0,2489.5,1068252.0,26601.39
2016-04-04,29,0.0007874999999999965,0.0,2456.0,2488.0,2447.0,2476.4,2471.25,876176.0,21576.34
2016-04-08,30,0.241,0.0,2466.0,2473.7,2427.0,2432.0,2432.05,699750.0,17063.55
2016-04-11,32,0.246775,0.0,2433.0,2517.0,2413.0,2506.05,2506.65,1200324.0,29488.46
2016-04-18,33,0.072825,0.0,2453.0,2553.5,2440.0,2522.4,2519.75,3560752.0,88867.6
2016-04-20,34,0.163875,0.0,2534.9,2534.9,2440.0,2453.0,2450.35,3202512.0,79169.58
2016-04-21,35,-0.239525,0.0,2451.0,2467.4,2412.2,2418.2,2424.4,1262862.0,30816.73
2016-04-22,36,0.2494,0.0,2419.0,2435.4,2404.2,2423.4,2417.05,982063.0,23768.31
2016-04-26,38,0.0,0.0,2449.0,2493.5,2442.0,2488.0,2489.8,1277184.0,31592.55
2016-04-29,39,0.249775,0.0,2517.0,2542.0,2510.0,2540.1,2535.5,1186089.0,29998.74
2016-05-02,41,0.0,0.0,2529.0,2530.0,2500.0,2525.1,2526.7,558346.0,14049.47
2016-05-04,42,0.0,0.0,2473.9,2494.05,2457.0,2478.0,2478.0,682446.0,16872.77
2016-05-05,43,0.0,0.0,2478.0,2489.95,2463.55,2469.3,2470.3,623283.0,15410.49
2016-05-06,44,0.24411875,0.0,2465.0,2484.3,2431.0,2479.0,2473.4,442799.0,10877.79
2016-05-09,45,0.12573333333333336,0.0,2473.4,2518.0,2456.4,2514.6,2512.55,910638.0,22758.85
